codigo_ocorrencia3,fator_nome,total_fatores,fator_humano,fator_operacional,fator_material,fator_meteorologico,fator_outro
42386,"APLICAÇÃO DE COMANDOS,ATENÇÃO,CULTURA DO GRUPO DE TRABALHO,ILUSÕES VISUAIS,PLANEJAMENTO GERENCIAL,SISTEMAS DE APOIO",6,4,2,0,0,0
42387,"APLICAÇÃO DE COMANDOS,INDISCIPLINA DE VOO,PLANEJAMENTO DE VOO,PLANEJAMENTO GERENCIAL,SUPERVISÃO GERENCIAL",5,0,5,0,0,0
42388,"APLICAÇÃO DE COMANDOS,CONDIÇÕES METEOROLÓGICAS ADVERSAS,JULGAMENTO DE PILOTAGEM",3,0,2,0,1,0
42427,OUTRO FATOR,1,0,0,0,0,1
42449,OUTRO FATOR,1,0,0,0,0,1
42565,"MANUTENÇÃO DE AERONAVE,OUTRO FATOR,SUPERVISÃO GERENCIAL",3,0,2,0,0,1
42718,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM",2,0,2,0,0,0
42723,"INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",4,0,4,0,0,0
42757,OUTRO FATOR,1,0,0,0,0,1
42758,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,JULGAMENTO DE PILOTAGEM,PERCEPÇÃO,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO",6,2,3,0,1,0
42760,APLICAÇÃO DE COMANDOS,1,0,1,0,0,0
42880,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM",2,0,2,0,0,0
42919,"MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",2,0,2,0,0,0
42921,"ATITUDE,CLIMA ORGANIZACIONAL,COMUNICAÇÃO,CONDIÇÕES METEOROLÓGICAS ADVERSAS,CULTURA ORGANIZACIONAL,DESORIENTAÇÃO,DESVIO DE NAVEGAÇÃO,ESTADO EMOCIONAL,ESTRESSE,FADIGA,JULGAMENTO DE PILOTAGEM,LIDERANÇA,MOTIVAÇÃO,ORGANIZAÇÃO DO TRABALHO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO,RELAÇÕES INTERPESSOAIS,SOBRECARGA DE TAREFAS,SUPERVISÃO GERENCIAL",19,14,4,0,1,0
42983,"APLICAÇÃO DE COMANDOS,ATITUDE,INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,PLANEJAMENTO GERENCIAL",6,1,5,0,0,0
42997,"MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",2,0,2,0,0,0
42999,"ATITUDE,FRASEOLOGIA DA TRIPULAÇÃO,INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM,MEMÓRIA,PLANEJAMENTO GERENCIAL",6,2,4,0,0,0
43021,MANUTENÇÃO DE AERONAVE,1,0,1,0,0,0
43027,"MANUTENÇÃO DE AERONAVE,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",3,1,2,0,0,0
43042,MANUTENÇÃO DE AERONAVE,1,0,1,0,0,0
43062,"APLICAÇÃO DE COMANDOS,INDISCIPLINA DE VOO,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO,SUPERVISÃO GERENCIAL",7,0,7,0,0,0
43063,"APLICAÇÃO DE COMANDOS,ATITUDE,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,OUTRO FATOR,PLANEJAMENTO DE VOO,SUPERVISÃO GERENCIAL",7,1,5,0,0,1
43070,MEMÓRIA,1,1,0,0,0,0
43256,"ATITUDE,ESQUECIMENTO DO PILOTO,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,INDISCIPLINA DE VOO,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,MOTIVAÇÃO,PERCEPÇÃO,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",13,6,7,0,0,0
43262,"JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,SUPERVISÃO GERENCIAL",3,0,3,0,0,0
43282,"APLICAÇÃO DE COMANDOS,COORDENAÇÃO DE CABINE,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO",4,0,4,0,0,0
43294,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM",2,0,2,0,0,0
43361,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM",2,0,2,0,0,0
43389,"ATENÇÃO,INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM,PERCEPÇÃO,PLANEJAMENTO DE VOO,PROCESSO DECISÓRIO,SUPERVISÃO GERENCIAL",7,3,4,0,0,0
